유저, 챗봇
"ㅎㅎㅎㅎ헷 냐씻고올게헝~~","네~ ㅎㅎ 씻고오세요~~~"
"씻고왔다!!ㅎㅎ","어디 목욕탕 갔다온거 아니지>??? ㅋㅋ"
"ㅋㅋㅋㅋ오래걸렸지ㅎㅎ","어 ㅎㅎㅎㅎ 너무 오래 걸렸어 ㅎㅎㅎㅎ"
"ㅎㅎ안자구있었네!! 팩두하고왔지요","아 나도 팩 해야 되는데 금요일날 좀 중요한 약속있어서...."
"ㅎㅎㅎㅎ그냥와도갠츄나요~~","나 궁금한거 있어 세정"
"먼데~~?","인턴 일 남았잖앟 그런데 끝나면 뭐해????"
"웅ㅎㅎㅎ이제좀쉬고있다 혈당 ","아 ~혈당 피뽑고 당재는거~~"
"응ㅎㅎ쉅중이야?","수업끝!!~~"
"부럽다ㅠㅠㅠㅠ 올래요섯시쯤끝나지아너?ㅎㅎ","오늘은 세시 ㅎㅎㅎ~~"
"오늘도팀프로젝트?ㅎㅎㅎ","오늘은 노노~~ 안함 ㅎㅎ"
"그럼뭐해~~","학교에서 좀 쉬다가 집가려고 ㅎㅎ"
"밖에날씨진짜추워!!!!","그렇지그렇지 나오늘 깝놀햤잖아 ㅎㅎ"
"진짜?? 사람이 먹을수 있는 음식이지??~~","당근!!!먹자ㅎㅎㅎㅎ"
"그래그래~~ 한번 먹어볼래~","먹고뱉지마ㅠㅠㅎㅎ"
"피맛 나?? 궁금하다 ㅎㅎ","ㅎㅎㅎㅎ웅피터지는맛"
"피 터지는 맛이야???!??!?!?","웅~~~~기대대지ㅎㅎㅎ!!"
"우웅 기대되~ 나 잘먹는 여자가 내 이상형이야 ㅎㅎ","ㅋㅋㅋㅋ진짜루?ㅎㅎ"
"ㅋㅋㅋㅋ그러코만나노래방왔다ㅠㅠ","노래방 진짜 좋아한다~~ 노래잘해???~~"
"나도ㅎㅎ지각했는데미끄러워서뛰지두못하고.. 꽁꽁얼었어!!","어이구 그랬쩌요?? ~~ㅎㅎㅎ 난 밥먹고왔어~"
"ㅋㅋㅋㅋ뭐먹어쪼~~","나는 볶음밥~ 너두 밥 빨리먹어ㅎㅎ"
"맨날맛있는건만먹어ㅎㅎㅎㅎ 나도먹고왔지요ㅠㅠ" "밥을먹고왔는데 왜 울어 ㅎㅎㅎ 오늘도 맛없었어???~ㅎㅎ"
"웅ㅠㅠ어제보다오늘이더...","ㅎㅎ 조금만기다려~ 금욜날 맛있는거먹자~~"
"나 쉬는시간~~~","나도지금쉬고있다ㅋㅋ"
"너무 아쉬워 하지마~~ ㅎㅎ 또 있잖옹~","정 많이 들었나보네~~"
"과제 조금 있어서 하구있어~","꼼꼼이네~ㅎㅎ"
"항상 중간 까지는 꼼꼼인데 기말때 약간 깜깜이로 바뀔때 있어 ㅋㅋ","ㅋㅋㅋㅋ깜빡깜빡해?ㅎㅎ 오늘이어제보다더추운것같아"
"맞아..ㅠㅠ 이제 진짜로 완전 겨울인것 같아","그치ㅠㅠ나오늘완전꽁꽁싸매고왔어"
"잘했어 ㅎㅎ꽁꽁 싸매야돼 요즘","마저ㅎㅎ멋부리다얼어죽어ㅠㅠ"
"너 혹시 파스타 이런것도 좋아해??","웅!!!파스타맛있지ㅎㅎ"
"알겠어~ 금요일날 언제 만날까??~","네시끝나지??"
"ㅎㅎ 거의 이제 집에서 조금만 하면 될것같아","응응~거의 다끝났어~"
"수고했네~~집가서마저하면되그따ㅠㅠ","ㅎㅎ 금방끝낼수있을것같아~ 그런데 밖에 장난 아니다.... 너무추운데?"
"그치!!!!진짜얼것같아ㅠㅠ 집이최공","집에 빨리 튀어가야겠다 금천규청 지났어 ㅎ"
"우리동네당!!!","ㅎㅎ 귀엽네"
"ㅎㅎㅎ어디셔오늘길이야??","학교~"
"학교서과제하다 이제오는거야? 난카페나친구집인줄알았드~","아~~학교 실험때문에 ㅎ"
"겐차노앙 ~잘했어~~ 계속 일했어니까 자두되~~","ㅎㅎㅎ이제청소해야겠다!! 쉬는시간이네?"
"일어났어??~","웅~~복짜면시켰어ㅎㅎ"
"아침부터 복짜네?~ 맛있겠다 ㅎ","웅ㅎㅎ인나자마자고민했어ㅎㅎ"
"아 ㅎ 나 그거알아 일어나자마자 뭐 시켜먹지?? 할때 있어","그치!!!밥하기엔귀찮쿠ㅠㅠ"
"나도 이따 짜장먹으야지~~","짜장면?ㅎㅎ"
"점심 뭐먹을까 했는데 신의 한수였어","ㅎㅎㅎㅎ근데점심학교에서먹지아낭?"
"밖에서머거?","밖에 짜장 싸고맛있는데있어 ㅎㅎ"
"오진짱?ㅎㅎ얼만댕","이천언~"
"나이가많아서 그런가부다 ㅠㅠ 아픈가봐","헉ㅠㅠ내가순돌이추울까봐 난로랑보일러랑이불자리두까러조땅!!"
"ㅎㅎ 잘했어~~ 착하네~","규칭ㅋㅋㅋㅋ <NAME> 자꼬울어ㅠㅠ"
"몸 안좋아??","적응안되나봐ㅠㅠ이제잔다ㅎㅎ"
"ㅎㅎ다행이다~~ 나 넘 바빠 ㅠㅠ","ㅠㅠ고생많이하겠네 쪼곰만더힘내~~~~"
"고마워~~ 일끝!!!!^^"," 츄컁츄컁"
"오늘 뭐하고 놀았어?~","오늘순돌이마껴노쿠가산가따강순돌이데리고방콕햇처ㅎㅎ"
"일주일동안 싱나게 놀겠네~~~","보살펴조야지~~"
"갑자기 이상하겠다 ㅋ 맨날 주인이 나갔는데 갑자기 잘해주니까 ㅎㅎ","ㅎㅎㅎㅎ순돌이항상잘해주지!!!!치즈두주구재워주구안아주구목욕해주구!!"
"<NAME> 좋겠네 ㅎㅎㅎ~","개팔자가상팔자야ㅠㅠ" 
"무슨일이 있었을까? ㅠㅠ 많이 취한것같은데?ㅠㅠ","아니야 친구머실수했다해가꾸ㅠㅠ"
"집이랑 가까워??","웅이제두장거장ㅎㅎ"
"다행이다 춥진않지? ㅠㅠ","ㅎㅎ웅갠차냥 완전무장하구나왔어~~"
"잘했어~~~ 그래도 추우니까 집에 빨리들어가~~","웅~~집이야ㅎㅎ"
"일찍왔네~~~ 잘했어요~~","ㅎㅎ이것만먹고가자했어"
"웅ㅎㅎ 나씻고올게요~","네~~"
"ㅎㅎ많이잤네~냐두인났어!","좀있음 보내~~~"
"응응~~~~잉나ㅎㅎ","이제 씻어야지ㅎㅎ"
"ㅎㅎ냐두씻고나왔어~~","나도나도~~"
"나설겆이하고올게ㅎㅎ","설겆이했어???~"
"웅ㅎㅎ아까마쳤지용!","세정아 오늘 몇시까지 놀수있어??"
"지금바따 열두시안?","ㅋㅋㅋㅋ에이~~ㅎㅎ부끄럽게!!"
"진짜 미안해 ㅠㅠ 금방 갔다 올게 ~~","괜찮아유  다섯시반까지와여~~네시쯤준비하고있을게ㅎㅎ"
"밖에츄엉??","오늘 바람이 안불어서 따뜻행 ㅎ"
"응응~~~ 과자먹고있어 ㅎㅎㅎ","ㅎㅎㅅㅅ맛있겠다!!!"
"나 여기서 다섯시에 출발할게~ 그럼 나 어디로 가면 되는거야?","시흥사거리ㅎㅎ"
"아까 나올때도 따뜻했지?~ 나 거짓말안했어 ㅎㅎㅎ"," 나름따뜻했어ㅎㅎ"
"나도 알바 함 찾아볼까?~ 금구쪽~","없어   "
"아 없어??? ㅎ 나도 집가는동안 봐야지~","웅ㅎㅎ없어 손시려워~~안돼ㅎㅎ"
"그런데 시흥쪽 거의 술집 아니면 카페네 ㅎ 시급도 좀 낮당 ㅠㅠ","ㅋㅋㅋㅋ그치괜찮은데없지ㅋㅋㅋㅠㅠ"
"아니야 있을거야ㅎㅎㅎ 알바몬 알바천국 귀족알바 찾고있어~~~~","손시러워ㅠㅠㅠㅠ주머니에넣고있어"
"전철이여서 괜찮옹~~","ㅎㅎ냐두이제은지만나러가고있다! 비와.."
"아니야~~나착하니깡웬만한건다이해..해ㅎㅎ!!","아.... ㅋㅋㅋ 오케이 오케이 ㅋ"
"ㅋㅋㅋㅋ장냔이야","당연히 알지알지~~~ 우리 착한거~~"
"ㅋㅋㅋㅋ거짓말치네~~^^ㅎㅎ","아니얌 ㅎㅎㅎ"
"ㅋㅋㅋㅋ밥다먹었고??","밥 다먹었어 ㅎㅎㅎ 이제 막판 스퍼트 간다 ㅎㅎ"
"난오뎅먹는다~~","오 맛있겠다 집에서????"
"ㅋㅋㅋㅋ밖에서도먹고집에서도먹고","ㅋㅋㅋ 잘먹어서 좋단말이야"
"ㅋㅋㅋㅋ먹고나니까잠와 어떡해","웅.. 올래먹으면졸리지??"
"공부하고있어?","ㅎㅎ웅 하고있어~ 20 분남았어"
"아하ㅎㅎ마셔마셔~~ 맛있는거도많이먹고!!","ㅎㅎㅎㅎ 웃겨"
"마자술은풀잔이면못써ㅠㅠ 술은얼만큼먹어야돼??","소주 한병이면 될것같아 ㅎㅎ"
"ㅋㅋㅋㅋ간단하긴하지!!","ㅎㅎㅎ 간단하지~~~^^"
"씻고올게","응응~~~~"
"다 씼었다!!","깨끗이 씻었어???~"
"나 맥주 7 에 소주 한병 먹었어","참잘했어요 "
"아~~ㅋㅋ 잘한거야??~","맥주는못했어!!"
"맥주많이마셨자내ㅠㅠ","에이 그냥 음료수징 ㅎㅎㅎ"
"ㅎㅎㅎㅎ너무많이많이먹지마ㅠㅠ","ㅎㅎ 응응 걱정해주니까 좋다~~~^^"
"ㅎㅎㅎㅎ맛있는건많이먹었고??","응응~~~내일 세정이랑 먹어야돼서 ㅎㅎ 조금먹었어~~"
"응응 금열날 학교가~~^^","아진짱?ㅋㅋㅋㅋ언제끝냥"
"한 2 심 끝날것같아 ㅎㅎ","싯어야겠다ㅋㅋㅋㅋ오늘학교가는지몰랐엉"
"그렇구만ㅋㅋㅋ점심먹었어?","응응~~~ 아점~~"
"잘했어ㅎㅎ씻고나왔다","ㅎㅎㅎ 밥먹었어?"
"웅ㅎㅎ어디서볼까","어서볼까??~"
"음...~ 오늘은 뭐먹지? ㅎㅎ","암거나ㅎㅎ낼일가지?"
"낼 일가 ㅎㅎ 열한시반까지~~","ㅎㅎ어디서볼래그럼 오늘츼엉?"
"ㅎㅎ냐씻고나왔어!! 마무리잘했어~~~?ㅎㅎ","ㅎㅎ 응응~~ 이제 시험공부해야뎀 ㅠㅠ"
"ㅠㅠ내일부터시험기간인강??","응응 ㅠㅠ"
"우리둘다힘내장.!!!! 셤언제끝나ㅎㅎ","아마 다음줄까지?~"
"예민하겠다ㅠㅠ","아니야 ㅎㅎ 예민안해 나~~ 잠깐만 재워주면 되 나는 ㅎㅎ"
"ㅎㅎㅎㅎ잠못자면예민하지ㅠㅠ 나긴장대..내일. ","자신있게해~~ 잘할수 있어 ㅎㅎㅎ 화이팅~~^^"
"ㅎㅎ 나 씻고나올게~~","오웅~~~"
"씻고왔지렁~~","왜케늦게왔어ㅠㅠ"
"ㅋㅋㅋㅋㅋㅋ 체육짱어려워!!","체육어디까지함.?"
"안했어","그러고내일 0 점맞음죽어^^^^"
"으응","공부안할거면 저게임 ㄱㄱ개재미음"
"나 이거 짱잘함 마자마자","몽잘함?? 게임??"
"아니ㅋㅋㅋ김해가려고 잘데가없어서 놀자ㅋㅋㅋㅋ","노까 ㅋㅋㅋㅋ 나 놀라면 정장갈아입으야됨 헣"
"ㅋㅋㅋㅋ나 메가박스 영화티켓있는데 김해에 메가박스가없다...","우어 메가박스가 어디있지"
"메가박스 덕천에있던데 잴가까운게ㅋㅋㅋㅋ 나지금 통학탔다","ㅋㅋㅋㅋ아하 집들리면 시간없울둣"
"ㅋㅋㅋㅋ내일은어떤데","낼..낼도뭐괜찮지ㅋㅋㅋㅋ덕천가게?"
"음 몰랴 ㅋㅋㅋㅋ 그냥 냉정와라 애들델꼬 술먹자","음....내일 술먹기로했나"
"아니 그건 아니지만 사실 나도 내일 어째 될지 모르겠다 ㅠㅠ","음! 내일 보고 니 약속없으면 영화보자"
"응! 영화안본지 디따 오래됐다 ㅋㅋㅋㅋ","언제보러갈까!"
"니언제되는데!","난 언제나된다ㅋㅋㅋㅋ아마도"
"ㅋㅋㅋㅋ언제나 되나 니 일찍마치는날 언제얌","나 금요일! 나내일서울안가려고ㅋㅋㅋㅋ버스만요덟시간 못타겠다"
"허난 금요일이 제일 늦음 ㅠㅠ 여덟시 ㅠㅠ"," 그쿠나 주말에보자 ㅋㅋㅋ"
"그래거래 이번주?","이번주가자ㅋㅋㅋㅋ보고싶다"
"구려고랴 토요일 기기기기기!!","그래그래 ㅎㅎㅎ 덕천주위에뭐 볼거있나ㅋㅋㅋ"
"덕천에서..안놀아봤다 ㅋㅋㅋㅋ처음놀아봄!","아진짜? 뭐있는지찾아봐야겠다"
"밤샜냥","네시쯤집왔어ㅋㅋㅋㅋ ㅎㅎ잘잤나"
"매우 잘잔것같다 닌 안피곤허냥","괜찮아ㅋㅋㅋㅋ일나자마 엄마가 삼겹살구워주신다ㅎㅎㅎ~~"
"와우 삼겹살. ㅠㅠㅠㅠ","ㅎㅎㅎ밥먹었나"
"밥먹는중~~","뭐먹너~"
"네시까지는 거기로 갈까?","그러자ㅎㅎ그까지얼마나걸려??"
"핳ㅋㅋㅋ어디서먹어","어빙동에스!"
"그래오늘도 많이취할것같디.... ","응...내생각도.... "
"하하하 데리러갈게오늘은 ","하하하 취한모습보여주기.부끄릅다"
"괜찮다!!ㅋㅋㅋㅋ어제기억나?","아니아니 기억부분부분난다 ㅋㅋㅋ"
"ㅋㅋㅋㅋ오늘은 정신꽉잡고있어리 ! 진짜데리러갈게","알았다ㅎ 언제오게 내집갈때오게?"
"응ㅎㅎ아빠차 훔쳐서갈게ㅋㅋㅋㅋ","모르겠어!ㅋㅋㅋㅋ 낮은확률로 못갈수도있지.ㅎ....언제먹어???"
"ㅋㅋㅋㅋ그래그래당연하지! 나도내일잘하면 어방에서먹을수도있지!","오!? 진짜???"
"응응ㅋㅋㅋㅋ저번부터 인재대다니는친구가 술집좋은곳많다면서막 자꾸가자고했거든","오~그렇군 어방에서 먹었우면 좋겠네"
"ㅎㅎㅎ그러게ㅎㅎ어방가자고 계속해야겠다 나이제 치킨집들어왔어~~","오호 잼께 놀아~~~"
"니랑놀고싶은데~~ 뭐하고있어","나 응답하라 보는중~~~"
"아진짜???이제 <NUM> 화인가 재밌어????","나지금 <NUM> 화보는중 잼땅"
"아하ㅎㅎㅎ나도봐야지~~ 너는예뻣다는 다봤어??","응응 좋게끝나도만!!"
"오늘 집에 왜케늦게와~??","나 학원~~실습하런 간단 ㅠㅠ"
"아하...지내동에서기달리고있을게ㅎㅎㅎ","뭐하면서 기다리게!"
"친구랑 피시하면서~~짜장면도먹고~~기다릴게ㅎㅎㅎ","구랴규랴 난이제 냉정우로 ㅠㅠ"
"ㅎㅎㅎ빨리보고싶어~경전철막차타고오는거야???","아니아니~ 아홉시 반에 마칠껑??"
"오~~좋다좋다ㅎㅎ최대한빨리와ㅎㅎㅎ","알았졍~~ 피씨방에 있어리"
"그래그래ㅎㅎㅎ나이제허리도 완전괜찮아짐!ㅎㅎㅎ ","ㅋㅋㅋㅋ진짜궁금해 콩깍지를준비할게요"
"아..콩깍지안벗겨지게 접착제 가져갈게^^♥","ㅋㅋㅋㅋ필수야 빨리와요"
"ㅋㅋ넵 나학교왔어 근데 교수없이 우리끼리 자발적인모임이라 수다떨기바쁨ㅋㅋ","ㅋㅋㅋ오빠수다왕이잖아 신났겠네!!"
"ㅋㅋ웅 근데지금 졸작얘기라서 입다물고있음..","즘깨어주세요"
"몇시에?","일어나세요옴"
"한시간동안샤워하고싶다..","씻고왔어?"
"네 학교가기싫다 ㅠㅠ","이번주만참자 ㅋㅋ오늘날씨진짜좋아"
"넵 몇시에들어갈거예요?","네시쯤 ?!"
"프로필사진머냐 설마지금 만든거야?","왜요이사람아"
"지금만든거야?","아니요!! 저거그냥사진인에요"
"씻었어","오늘학교늦게가요???"
"아니..어제술좀많이먹어서 못일어났어","아..그렇게많이먹었어요? 어떡해요학교도못가고"
"괜찮아 지금부터잘하면대","응 화이팅 오늘은그럼 집에서쉬게요??"
"학교갔다가 집에와야지","아나학교아예안가는줄알았어 알았어요 지금가??"
"응 옷입고있어요","잘하고있어요 진짜좋다ㅎㅎ"
"나왔어요 춥다오늘 옷따뜻하게입어","네 오늘여기날씨진짜좋은데 오늘봄처녀야ㅋㅋ"
"여기는 가을입니다 추운게싫다..","에이씨 ㅠㅠ"
"머 왜 방해안할테니 어서가서 노세요","어제 내가 연락하기로 해놓고 못해서 미안해 <NAME> 씨 ㅠㅠ"
"그래 놀러갔는데 어떡해ㅋㅋ 일박이일이야 이박삼일이야? ?","하루야 아침에 집와서 충전하고 연락한거야!"
"그랬구나ㄱㄱㄱㄱ술많이마셨어? 속은괜찮인? 괜찮아?","얼마안마셨어 괜찮아 근데 얼굴이 손보다 작네"
"아냐ㅋㅋㅋ안그래","왜이렇게얼굴작은거야? 점심먹었어???"
"아니라고ㅋㅋㅋㅋ 아니아직ㅠㅠ"
"왜아직도안먹었어! 거기서밥먹을시간도안줘?","주는데늦어ㅠㅠ사과 <NUM> 조각먹었다ㅋㅋ 밥먹었어? ?"
"엄청배고프겠다그럼언제먹어? 나는먹었지!","시끄러워 운동해"
"에잉~~~~ ","운동하고오세요^^"
"운동끝~~~~","수고했어~~~"
"집도착!!완전빨리왔지?","응 잘했네ㅋㅋ얼른씻어"
"씻고오겠삼!","응응"
"나손톱자르려고 난소중하니까^^","길었구나ㅋㅋ난 손톱긴거 싫어해서 항상 잘라ㅋㅋ"
"나도싫어해! 요새신경을안썼더니 조금자랐는데 내일 너만나니까 정리좀했지","굿굿 오늘도 늦게 자려고? ?"
"이건오빠얘기가 아닌데..","나맞아"
"내가 전부야 나가죽을까 생각안했잖아","그랬거든?"
"아라써 믿을게","근데울음은뭐냐"
"속상해서ㅎㅎㅎ","왜속상해?"
"그냥 좋아서 ","ㅋㅋ바보"
"뭐야 부끄럽게 ㅋㅋㅋㅋ","부끄럼안타자나ㅋ"
"ㅋㅋㅋ그건차츰 확인해보면되고..","ㅋㅋㅋㅋ 그래요..."
"오빠 나지금고속터미널왔어 바뿡가봉가? 나아홉시반차탔어~ 열시반도착예정ㅎㅎ","일찍오내!! 나열한시이십분쯤?끝나 오고있겠네 ㅎㅎ"
"어디쯤야","몰라나도..집가서잘래"
"ㅠㅠ 끝나늗데로전화할게애기","킁.. 도착했더"
"애기집으로갈게","옹야"
"애기배고파?","아니!오빠배고파아~?"
"ㅋㅋㅋㅋ물장구 인천 놀러가야겠네","물장구 치러 놀러온다는거예요? ㅋㅋ"
"그럼 진짜 물장구치러 가야겠다","어디서 또 홀딱 벗고 물장구 치려고요"
"ㅋㅋㅋ구월동 할리스커피에서","어머 구경가야겠다 "
